date,time,rank,match,pick,side,line,odds,bookmaker,result,total_games,final_score,profit,stake,jakob_score,confidence,quality_score,edge_percent,market_gap,tournament,event_type
2026-06-01,16:30,4,C. Naef - M. Inglis,UNDER 19.5 games,under,19.5,2.0,Betfair,win,17,"6-2, 6-3",0.75,0.75,70.0924728,90.1,78.3,7.0,0.4587,Birmingham,Challenger Women Singles
2026-06-01,14:30,1,M. Alkaya - A. Azkara,UNDER 20.5 games,under,20.5,2.15,Betano,loss,27,"6-4, 3-6, 2-6",-0.75,0.75,75.11038897,88.1,84.4,10.49,0.4744,Centurion 2 (South Africa) - Qualification,Challenger Men Singles
2026-06-01,11:30,5,T. Duran - K. van Wyk,UNDER 19.5 games,under,19.5,2.03,Pncl,win,17,"6-3, 6-2",0.772,0.75,74.5264871,88.5,77.1,7.74,0.5852,Centurion 2 (South Africa) - Qualification,Challenger Men Singles
2026-06-01,11:30,3,A. Holmgren - J. Watt,UNDER 22.5 games,under,22.5,2.12,Pncl,win,20,"2-6, 5-7",0.84,0.75,75.81017758,85.7,77.6,9.83,0.5894,Birmingham,Challenger Men Singles
2026-06-01,10:00,6,L. Carboni - J. Sels,UNDER 20.0 games,under,20.0,2.14,Pncl,push,20,"6-4, 6-4",0.0,0.75,72.53988532,78.0,74.8,10.27,0.4793,Perugia,Challenger Men Singles
2026-06-01,10:00,1,D. Dutra Da Silva - A. Martin,OVER 22.5 games,over,22.5,2.04,Unibet,loss,18,"2-6, 4-6",-0.75,0.75,77.78246182,92.9,86.4,12.98,0.1226,Prostejov,Challenger Men Singles
2026-05-31,13:00,7,M. Sawangkaew - A. Ito,UNDER 20.5 games,under,20.5,2.05,1xBet,loss,22,"7-6, 6-3",-0.75,0.75,70.87741922,89.3,80.9,8.22,0.2043,Birmingham,Challenger Women Singles
2026-05-31,13:00,5,T. Duran - S. Vujic,UNDER 21.5 games,under,21.5,2.2,Betfair,loss,23,"6-4, 7-6",-0.75,0.75,72.40518688,83.7,81.0,11.55,0.4615,Centurion 2 (South Africa) - Qualification,Challenger Men Singles
2026-05-31,13:00,1,R. Masarova - C. Naef,OVER 22.5 games,over,22.5,2.05,Pncl,win,26,"4-6, 6-4, 6-0",0.787,0.75,79.50187055,88.9,85.2,13.22,0.1666,Birmingham,Challenger Women Singles
2026-05-31,11:30,3,G. Minnen - V. Hruncakova,UNDER 20.5 games,under,20.5,2.0,Pncl,win,20,"7-6, 6-1",0.75,0.75,75.65718086,86.4,74.5,7.0,0.5143,Birmingham,Challenger Women Singles
2026-05-31,11:30,2,A. Krueger - G. Knutson,UNDER 19.5 games,under,19.5,2.09,Pncl,loss,23,"6-4, 7-6",-0.75,0.75,79.4119884,86.5,78.3,9.15,0.5697,Birmingham,Challenger Women Singles
2026-05-31,11:00,6,M. Kostyuk - I. Swiatek,UNDER 20.5 games,under,20.5,2.0,Betfair,win,19,"7-5, 6-1",0.75,0.75,72.29084707,90.9,80.6,7.0,0.4208,French Open,Wta Singles
2026-05-31,11:00,4,S. Cirstea - Xiy. Wang,UNDER 19.5 games,under,19.5,2.0,Betfair,loss,22,"6-3, 7-6",-0.75,0.75,75.20530993,91.7,81.1,7.0,0.6206,French Open,Wta Singles
2026-05-30,16:00,3,C. Gauff - A. Potapova,UNDER 20.5 games,under,20.5,2.01,Pncl,loss,33,"6-4, 6-7, 4-6",-0.75,0.75,74.84614063,86.7,79.5,7.25,0.5277,French Open,Wta Singles
2026-05-30,15:15,6,M. Krumich - M. Erhard,UNDER 20.5 games,under,20.5,2.2,Pncl,loss,27,"6-3, 2-6, 6-4",-0.75,0.75,71.59295958,85.8,85.1,11.55,0.3957,Kosice,Challenger Men Singles
2026-05-30,15:00,4,V. Mboko - M. Keys,OVER 21.5 games,over,21.5,1.88,Pncl,win,33,"3-6, 7-5, 5-7",0.66,0.75,74.65003123,90.4,82.6,8.81,0.0525,French Open,Wta Singles
2026-05-30,14:00,2,D. Parry - A. Anisimova,UNDER 19.5 games,under,19.5,2.1,Betfair,loss,32,"6-3, 4-6, 7-6",-0.75,0.75,77.29492239,88.3,82.6,9.38,0.6017,French Open,Wta Singles
2026-05-30,12:00,5,D. Shnaider - O. Oliynykova,UNDER 20.5 games,under,20.5,1.99,Pncl,win,19,"7-5, 6-1",0.742,0.75,72.43611852,90.9,79.9,6.75,0.4414,French Open,Wta Singles
2026-05-30,11:30,1,A. Krueger - H. Klugman,UNDER 19.5 games,under,19.5,2.11,Pncl,win,15,"6-1, 6-2",0.832,0.75,81.47782547,86.5,79.5,9.61,0.6062,Birmingham,Challenger Women Singles
